epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,591.974,0.82549,5.34637,0.44497,1.17271,1.23793,0.44914,0.80527,0.66877,0.44498,0.27474,0.17591,0.12808,0.04515,1.44275,5.90846,0.11627,1.19334,2.03198,0.000499855,0.000499855,0.000499855
53,603.274,0.81558,5.28329,0.43318,1.19279,1.22045,0.40201,0.86252,0.66377,0.42585,0.30702,0.23379,0.19205,0.07407,1.38339,5.67557,0.10451,1.31875,2.06519,0.000498754,0.000498754,0.000498754
54,614.629,0.82889,5.50228,0.43385,1.21185,1.25025,0.46711,0.60882,0.69142,0.46111,0.2266,0.25185,0.22212,0.07511,1.44769,5.76137,0.09054,1.3257,2.23441,0.000497653,0.000497653,0.000497653
55,625.916,0.80328,5.4052,0.42695,1.204,1.21715,0.51392,0.75069,0.6203,0.40219,0.28018,0.20693,0.12215,0.05353,1.35371,5.88232,0.09394,1.15976,2.20959,0.000496552,0.000496552,0.000496552
56,637.256,0.83396,5.31669,0.43105,1.21373,1.22858,0.40768,0.8631,0.63176,0.44087,0.29494,0.27686,0.16632,0.07463,1.21242,5.61257,0.11818,1.0472,1.86429,0.000495452,0.000495452,0.000495452
57,648.528,0.83467,5.22947,0.42463,1.21244,1.22716,0.4669,0.75307,0.63778,0.37552,0.33135,0.28456,0.17507,0.07065,1.65766,5.65045,0.11941,1.21894,2.47254,0.000494351,0.000494351,0.000494351
58,659.847,0.7956,5.30582,0.42145,1.14858,1.19642,0.44032,0.70106,0.64039,0.42703,0.18529,0.20536,0.1531,0.04379,1.29899,6.07265,0.09473,1.12327,2.26903,0.00049325,0.00049325,0.00049325
59,671.295,0.82889,5.34448,0.42785,1.18678,1.23821,0.53984,0.63958,0.65574,0.44993,0.44072,0.19695,0.14006,0.0603,1.2989,5.76845,0.13182,1.20823,2.10616,0.000492149,0.000492149,0.000492149
60,682.628,0.82837,5.13967,0.43702,1.14638,1.23474,0.43473,0.71703,0.63214,0.39933,0.19752,0.21089,0.1356,0.05698,1.354,5.78777,0.11811,1.19132,2.08602,0.000491048,0.000491048,0.000491048
61,693.94,0.8267,5.0587,0.42754,1.14691,1.2264,0.46237,0.73629,0.71127,0.50037,0.38216,0.22564,0.18285,0.07202,1.22923,5.68342,0.0925,1.05966,1.94685,0.000489947,0.000489947,0.000489947
62,705.273,0.78839,5.10085,0.41744,1.13079,1.21504,0.51513,0.69639,0.70207,0.45218,0.39709,0.27976,0.22155,0.07818,1.61157,5.75431,0.13696,1.15079,2.36839,0.000488846,0.000488846,0.000488846
63,716.578,0.80043,5.0145,0.42805,1.10006,1.20846,0.46214,0.74427,0.67364,0.43836,0.22507,0.28074,0.19428,0.05771,1.40968,5.77438,0.12736,1.12027,2.13477,0.000487745,0.000487745,0.000487745
64,727.934,0.79025,5.25089,0.41309,1.11724,1.2036,0.49231,0.61744,0.62797,0.42016,0.24835,0.28099,0.29519,0.08543,1.55931,5.60611,0.12045,1.34077,2.40302,0.000486645,0.000486645,0.000486645
65,739.21,0.82599,5.04602,0.40459,1.14666,1.22608,0.46662,0.69567,0.65799,0.45325,0.66191,0.21079,0.20105,0.0891,1.39507,5.39331,0.12648,1.27565,2.1512,0.000485544,0.000485544,0.000485544
66,750.553,0.78936,5.11759,0.41685,1.11208,1.21104,0.54965,0.71714,0.63156,0.42786,0.22331,0.18763,0.15855,0.0675,1.26402,5.52192,0.14769,1.04241,1.97309,0.000484443,0.000484443,0.000484443
67,761.822,0.77397,5.12757,0.40913,1.10366,1.19522,0.56462,0.66831,0.62459,0.43533,0.17687,0.15471,0.09885,0.04284,1.20472,5.75861,0.12758,1.17162,1.99242,0.000483342,0.000483342,0.000483342
68,773.175,0.79115,5.21563,0.4121,1.07888,1.20731,0.47559,0.91701,0.74482,0.49046,0.42722,0.15416,0.10978,0.06279,1.29665,5.58567,0.10528,1.00606,2.10448,0.000482241,0.000482241,0.000482241
69,784.441,0.76327,5.11473,0.40415,1.0822,1.20255,0.40967,0.76343,0.6509,0.44932,0.25977,0.15179,0.11325,0.06711,1.23391,5.49531,0.13696,1.13284,2.01175,0.00048114,0.00048114,0.00048114
70,795.764,0.78165,5.01388,0.4043,1.046,1.19729,0.4336,0.77348,0.61856,0.40608,0.26581,0.18452,0.12786,0.06366,1.46683,5.53204,0.12148,1.17568,2.28557,0.000480039,0.000480039,0.000480039
