epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,181.958,0.80418,5.31011,0.48384,1.19,1.22261,0.47769,0.67357,0.64295,0.44524,0.28899,0.22561,0.12882,0.02314,1.35607,6.32874,0.21384,1.26556,2.22035,0.000324815,0.000324815,0.000324815
44,185.935,0.79482,5.39078,0.48227,1.19588,1.18627,0.47291,0.72067,0.62858,0.45542,0.19605,0.22374,0.13847,0.04092,1.27114,6.06422,0.21295,1.12011,2.00996,0.000319311,0.000319311,0.000319311
45,189.862,0.79347,5.43971,0.48912,1.18092,1.18916,0.46614,0.80956,0.67833,0.48846,0.28854,0.17319,0.18237,0.04345,1.2818,6.13124,0.23861,1.2287,1.98394,0.000313806,0.000313806,0.000313806
46,193.977,0.76942,5.3075,0.47361,1.14794,1.1796,0.47468,0.7858,0.71873,0.52288,0.19928,0.20329,0.19403,0.06239,1.18816,6.10677,0.25759,1.13344,1.8709,0.000308302,0.000308302,0.000308302
47,197.914,0.75281,5.45329,0.47392,1.14831,1.19037,0.40262,0.90097,0.65511,0.46867,0.22241,0.22767,0.18856,0.05979,1.26043,6.18006,0.21896,1.32874,1.95206,0.000302798,0.000302798,0.000302798
48,202.113,0.78619,5.39224,0.47472,1.18611,1.19821,0.42735,0.7723,0.58622,0.40031,0.4208,0.26349,0.15992,0.04164,1.23389,6.1529,0.22771,1.17851,1.90456,0.000297293,0.000297293,0.000297293
49,206.135,0.78896,5.29453,0.47593,1.20106,1.20316,0.3992,0.88037,0.60039,0.38847,0.39685,0.19322,0.15192,0.0507,1.50696,6.0278,0.22797,1.36902,2.27858,0.000291789,0.000291789,0.000291789
50,210.118,0.76299,5.34748,0.47053,1.17617,1.18081,0.40482,0.87915,0.62262,0.45445,0.20742,0.2189,0.15628,0.05537,1.14135,6.03113,0.26357,1.36102,1.83213,0.000286284,0.000286284,0.000286284
51,214.065,0.76021,5.19213,0.46795,1.16563,1.19158,0.62437,0.58848,0.69452,0.50934,0.43955,0.22157,0.19061,0.05872,1.19361,6.1095,0.29961,1.22445,1.87374,0.00028078,0.00028078,0.00028078
52,218.179,0.77856,5.22073,0.47486,1.10089,1.19488,0.63791,0.54087,0.7372,0.48793,0.40379,0.2348,0.24801,0.07994,1.39661,5.97707,0.22936,1.20245,2.12232,0.000275276,0.000275276,0.000275276
53,222.251,0.77092,5.13608,0.46166,1.1002,1.1798,0.64016,0.54588,0.65373,0.4461,0.39005,0.22716,0.20477,0.07962,1.18557,6.0394,0.22248,1.23038,1.89518,0.000269771,0.000269771,0.000269771
54,226.253,0.75934,5.40591,0.46563,1.09721,1.19506,0.62538,0.50338,0.57593,0.37437,0.52703,0.22479,0.19849,0.05774,1.35591,5.98846,0.21007,1.21972,2.06862,0.000264267,0.000264267,0.000264267
55,230.245,0.74144,5.20954,0.44982,1.077,1.1683,0.74652,0.51775,0.61777,0.44779,0.47991,0.21586,0.15586,0.04732,1.20953,5.92978,0.18818,1.09276,1.94908,0.000258762,0.000258762,0.000258762
56,234.358,0.73792,5.07729,0.4509,1.10343,1.16418,0.64272,0.5464,0.60989,0.41161,0.4035,0.21982,0.15713,0.04599,1.3025,5.99439,0.18149,1.07916,2.09954,0.000253258,0.000253258,0.000253258
57,238.377,0.73447,5.09149,0.45278,1.09385,1.15692,0.42828,0.75638,0.49624,0.32848,0.30771,0.17245,0.13129,0.04524,1.36258,5.99526,0.20327,1.28676,2.19095,0.000247754,0.000247754,0.000247754
58,242.382,0.73093,5.13347,0.45006,1.05561,1.15379,0.44828,0.73237,0.65653,0.46713,0.38502,0.20238,0.16058,0.04875,1.23884,6.03407,0.20882,1.22559,2.0435,0.000242249,0.000242249,0.000242249
59,246.671,0.75146,5.1586,0.46034,1.09446,1.1756,0.5095,0.64037,0.65149,0.44472,0.42583,0.24766,0.19922,0.0673,1.30059,5.89822,0.1954,1.26742,2.17448,0.000236745,0.000236745,0.000236745
60,250.686,0.74637,4.9536,0.46353,1.07696,1.18414,0.46893,0.78968,0.65739,0.4375,0.33723,0.24061,0.1929,0.06134,1.33548,5.86217,0.21742,1.24742,2.1675,0.00023124,0.00023124,0.00023124
61,254.653,0.73359,4.89684,0.45098,1.07751,1.1655,0.56781,0.59346,0.71857,0.49509,0.41145,0.21944,0.16019,0.05882,1.21468,5.88947,0.22049,1.13176,1.92893,0.000225736,0.000225736,0.000225736
62,258.731,0.73069,4.94963,0.43678,1.0584,1.16126,0.5804,0.65116,0.73609,0.51928,0.40299,0.21334,0.16465,0.0627,1.27095,5.84882,0.18799,1.07877,2.05908,0.000220232,0.000220232,0.000220232
63,262.728,0.72771,4.90994,0.45572,1.01828,1.15649,0.5325,0.60067,0.71139,0.49866,0.5168,0.19046,0.17226,0.06438,1.2572,5.88517,0.17156,1.09306,2.0993,0.000214727,0.000214727,0.000214727
64,266.772,0.72137,5.09787,0.4494,1.03837,1.15697,0.5169,0.67131,0.66304,0.48112,0.5105,0.20973,0.17594,0.06212,1.18725,5.80899,0.20674,1.12536,1.91127,0.000209223,0.000209223,0.000209223
65,270.73,0.73151,4.8421,0.44639,1.06601,1.16485,0.4119,0.86571,0.68851,0.46658,0.52751,0.24271,0.20898,0.07422,1.39439,5.72316,0.19481,1.18405,2.23199,0.000203718,0.000203718,0.000203718
66,274.759,0.72651,4.92422,0.45526,1.03194,1.16834,0.49516,0.78442,0.64512,0.44415,0.52418,0.23753,0.19814,0.05258,1.36376,5.80335,0.18246,1.08483,2.2209,0.000198214,0.000198214,0.000198214
67,278.847,0.69215,4.92222,0.44061,1.00205,1.14307,0.49936,0.71138,0.64587,0.43701,0.43655,0.23959,0.21282,0.0678,1.43583,5.7263,0.2187,1.13959,2.32496,0.00019271,0.00019271,0.00019271
68,282.889,0.72049,4.98692,0.44396,1.01284,1.15572,0.53402,0.5909,0.68181,0.46654,0.40973,0.21661,0.16418,0.06202,1.376,5.76313,0.21527,1.19926,2.19672,0.000187205,0.000187205,0.000187205
