epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,401.911,0.67357,4.3935,0.38731,0.86844,1.12699,0.65776,0.56693,0.70066,0.4473,0.58289,0.25741,0.26392,0.0838,1.49092,5.20266,0.12131,1.19541,2.62325,0.000207388,0.000207388,0.000207388
97,406.076,0.668,4.28859,0.38987,0.84824,1.11869,0.57984,0.53284,0.66985,0.45343,0.53566,0.26572,0.25663,0.11032,1.3537,5.0805,0.13058,1.19218,2.33983,0.000203718,0.000203718,0.000203718
98,410.238,0.64752,4.25337,0.38098,0.84503,1.09907,0.46542,0.73241,0.71729,0.46566,0.45114,0.29394,0.2642,0.08714,1.45286,5.46984,0.15015,1.29179,2.68253,0.000200049,0.000200049,0.000200049
99,414.516,0.62843,4.55452,0.39382,0.86615,1.11657,0.50411,0.64821,0.70517,0.46749,0.39495,0.29404,0.27613,0.08815,1.40043,5.29507,0.14647,1.22335,2.58424,0.000196379,0.000196379,0.000196379
100,418.714,0.63736,4.40668,0.39509,0.82945,1.12038,0.46881,0.74376,0.72217,0.49664,0.47115,0.28023,0.27892,0.08499,1.34976,5.36312,0.13384,1.30227,2.4087,0.00019271,0.00019271,0.00019271
101,422.853,0.65647,4.56941,0.3868,0.8717,1.11885,0.56179,0.55398,0.67612,0.46596,0.48832,0.28795,0.28117,0.12796,1.39067,5.00065,0.15453,1.0815,2.40158,0.00018904,0.00018904,0.00018904
102,427.061,0.63882,4.25909,0.38403,0.86595,1.11435,0.5976,0.52719,0.76038,0.49989,0.39895,0.28003,0.28283,0.11754,1.42546,5.12445,0.15218,1.11533,2.45987,0.00018537,0.00018537,0.00018537
103,431.145,0.64496,4.19197,0.38246,0.84172,1.11193,0.56427,0.53717,0.6914,0.44517,0.5041,0.29169,0.29434,0.11831,1.37428,5.15489,0.13265,1.31047,2.3345,0.000181701,0.000181701,0.000181701
104,435.308,0.64127,4.21072,0.38511,0.85364,1.11002,0.67887,0.51821,0.62783,0.4004,0.481,0.29561,0.22239,0.09334,1.40661,5.04752,0.15184,1.23777,2.46335,0.000178031,0.000178031,0.000178031
105,439.384,0.64492,4.3231,0.39015,0.84023,1.11584,0.4679,0.69679,0.65409,0.44928,0.47729,0.28123,0.24735,0.10203,1.38064,5.11111,0.14303,1.1635,2.48882,0.000174362,0.000174362,0.000174362
106,443.603,0.63879,4.30009,0.38751,0.82786,1.11516,0.57363,0.59256,0.63201,0.40968,0.49474,0.26686,0.21628,0.09423,1.43176,5.27604,0.1374,1.2104,2.54762,0.000170692,0.000170692,0.000170692
107,447.817,0.62654,4.1084,0.38649,0.80433,1.10752,0.67961,0.52735,0.63946,0.41824,0.46044,0.29879,0.23149,0.09681,1.41741,4.98109,0.11739,1.07344,2.5546,0.000167022,0.000167022,0.000167022
108,451.986,0.63321,4.33563,0.3823,0.8067,1.10503,0.49724,0.64416,0.68383,0.4595,0.45369,0.2317,0.25857,0.10502,1.34635,5.07667,0.1434,1.23301,2.31153,0.000163353,0.000163353,0.000163353
