epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,501.109,0.48268,2.65778,0.30636,0.54121,1.01413,0.78695,0.5357,0.59491,0.39568,0.74361,0.51133,0.4942,0.24495,1.44853,3.36413,0.09994,1.1414,2.82693,0.000437655,0.000437655,0.000437655
45,512.401,0.47903,2.72576,0.31193,0.55102,1.01857,0.61531,0.60058,0.6155,0.4086,0.61435,0.46906,0.39744,0.23277,1.48261,3.5171,0.10259,1.10844,2.80226,0.000434903,0.000434903,0.000434903
46,523.665,0.476,2.60443,0.30038,0.53986,1.0103,0.60633,0.60202,0.61447,0.4218,0.69921,0.5028,0.54579,0.23651,1.55229,3.63105,0.0872,1.25973,3.1217,0.000432151,0.000432151,0.000432151
47,534.936,0.45605,2.63219,0.30934,0.50309,1.01618,0.54402,0.64181,0.62262,0.42786,0.58687,0.46246,0.40937,0.24235,1.50936,3.56393,0.06499,1.26775,3.05269,0.000429399,0.000429399,0.000429399
48,546.487,0.46339,2.76908,0.3136,0.55784,1.01505,0.76891,0.59669,0.67857,0.4714,0.76224,0.48379,0.46253,0.22966,1.48103,3.69447,0.07648,1.2678,2.98281,0.000426647,0.000426647,0.000426647
49,557.783,0.47652,2.644,0.31398,0.55706,1.0183,0.52594,0.70863,0.70582,0.48914,0.47948,0.63168,0.55609,0.23572,1.49083,3.81745,0.06869,1.21851,2.86628,0.000423894,0.000423894,0.000423894
50,569.112,0.44917,2.67083,0.31032,0.56569,1.0053,0.58201,0.68938,0.68073,0.47143,0.74103,0.49686,0.43345,0.24926,1.49202,3.7607,0.11014,1.19768,2.97053,0.000421142,0.000421142,0.000421142
51,580.428,0.45228,2.61868,0.3123,0.54007,1.00431,0.62131,0.6916,0.72678,0.44763,0.58791,0.65697,0.58552,0.27635,1.52143,3.31688,0.11289,1.11862,3.0156,0.00041839,0.00041839,0.00041839
52,591.765,0.46345,2.60812,0.3094,0.49587,1.01906,0.47076,0.66704,0.66737,0.4337,0.61553,0.50253,0.49571,0.26939,1.59923,3.24344,0.1533,1.41791,2.8356,0.000415638,0.000415638,0.000415638
53,603.036,0.45123,2.53112,0.3057,0.53997,0.99914,0.48111,0.6785,0.62346,0.40513,0.49958,0.52904,0.46584,0.22898,1.53013,3.42111,0.09626,1.36724,2.6173,0.000412886,0.000412886,0.000412886
54,614.35,0.46697,2.84509,0.31125,0.54712,1.02028,0.59793,0.688,0.64282,0.44229,0.51245,0.60491,0.54922,0.23977,1.47868,3.45687,0.08065,1.16921,2.82157,0.000410133,0.000410133,0.000410133
55,625.673,0.45415,2.62322,0.30028,0.56806,1.01074,0.61674,0.60249,0.59253,0.40289,0.75064,0.49734,0.48267,0.24188,1.44157,3.28761,0.08067,1.24418,2.95022,0.000407381,0.000407381,0.000407381
56,637.006,0.44809,2.62192,0.30705,0.55577,0.9945,0.73833,0.6042,0.7199,0.50187,0.78592,0.46802,0.48446,0.25251,1.32846,3.22779,0.04878,1.24786,2.67664,0.000404629,0.000404629,0.000404629
57,648.287,0.45546,2.67162,0.30819,0.55946,1.0032,0.47485,0.71068,0.68261,0.45158,0.40495,0.6243,0.57334,0.29473,1.48474,3.55393,0.05714,1.28974,2.97754,0.000401877,0.000401877,0.000401877
58,659.617,0.44742,2.69803,0.31288,0.52924,0.99058,0.628,0.58119,0.65764,0.45431,0.71267,0.48724,0.5709,0.27984,1.47855,3.34787,0.09614,1.11957,2.87539,0.000399125,0.000399125,0.000399125
59,670.908,0.45507,2.664,0.31426,0.54526,1.01071,0.56652,0.6078,0.65504,0.43821,0.66733,0.50678,0.48315,0.27875,1.50638,3.47733,0.05779,1.22446,2.83885,0.000396372,0.000396372,0.000396372
60,682.36,0.48358,2.47542,0.31118,0.54519,1.03749,0.52887,0.62423,0.61403,0.39804,0.55504,0.54128,0.5262,0.24356,1.49952,3.75438,0.08737,1.37351,2.91224,0.00039362,0.00039362,0.00039362
